"","OTU","Sample","Abundance","Tank","Location","Treatment","Source","Combined","Kingdom","Phylum","Class","Order","Family","Genus","sd","SD","median"
"41","ASV_11","Posterior_60",0.0915122397620682,NA,NA,60,NA,"Posterior_60","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.194557799221441,7.01119838460759,0.012652355446839
"42","ASV_11","Water_9",0.0671571626844956,NA,NA,9,NA,"Water_9","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.113496237528159,NA,0.012652355446839
"43","ASV_11","Precipitates_60",0.0202836178919148,NA,NA,60,NA,"Precipitates_60","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.0207341619841448,0,0.012652355446839
"44","ASV_11","Water_60",0.0126821071321,NA,NA,60,NA,"Water_60","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.0214798035321444,1.50782294396617,0.012652355446839
"45","ASV_11","Anterior_35",0.012652355446839,NA,NA,35,NA,"Anterior_35","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.0440165389471125,0.194557799221441,0.012652355446839
"46","ASV_11","Anterior_60",0.00476099790516092,NA,NA,60,NA,"Anterior_60","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.00401355765860011,0,0.012652355446839
"47","ASV_1116","Water_60",0.0110968437405875,NA,NA,60,NA,"Water_60","Bacteria","Other","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_X","Below Threshold",0.00696923143515643,0,0
"48","ASV_1116","Water_35",0.0107092179593585,NA,NA,35,NA,"Water_35","Bacteria","Other","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_X","Below Threshold",NA,0,0
"49","ASV_1118","Water_35",0.0160638269390378,NA,NA,35,NA,"Water_35","Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",NA,0,0
"50","ASV_1118","Water_60",0.0047557901745375,NA,NA,60,NA,"Water_60","Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",0.00805492632455414,0,0
"51","ASV_1118","Water_9",0.00298476278597758,NA,NA,9,NA,"Water_9","Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",0.000707695099416043,0,0
"52","ASV_112","Precipitates_60",0.234584450402145,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",0.354788281781623,0,0
"53","ASV_112","Fluid_35",0.126061689763076,NA,NA,35,NA,"Fluid_35","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",0.110974577486116,0,0
"54","ASV_112","Fluid_60",0.0886524822695035,NA,NA,60,NA,"Fluid_60","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",NA,0,0
"55","ASV_112","Precipitates_35",0.0500324678780911,NA,NA,35,NA,"Precipitates_35","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",0.0215716514518165,0.110974577486116,0
"56","ASV_112","Posterior_60",0.022878059940517,NA,NA,60,NA,"Posterior_60","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",0.0193871816383353,NA,0
"57","ASV_112","Posterior_35",0.0210260723296888,NA,NA,35,NA,"Posterior_35","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",0.0324262998702401,0,0
"58","ASV_112","Water_60",0.009511580349075,NA,NA,60,NA,"Water_60","Bacteria","Other","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Below Threshold",0.00455762441524087,0.0324262998702401,0
"59","ASV_1128","Fluid_60",0.443262411347518,NA,NA,60,NA,"Fluid_60","Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",NA,0,0
"60","ASV_1128","Water_35",0.0107092179593585,NA,NA,35,NA,"Water_35","Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",NA,0,0
"61","ASV_1128","Water_9",0.00298476278597758,NA,NA,9,NA,"Water_9","Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",0.00362888702464164,0,0
"62","ASV_113","Fluid_60",1.15248226950355,NA,NA,60,NA,"Fluid_60","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",NA,0,0.0042580823726035
"63","ASV_113","Water_9",0.685003059381856,NA,NA,9,NA,"Water_9","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",1.15766162278722,0,0.0042580823726035
"64","ASV_113","Water_60",0.03170526783025,NA,NA,60,NA,"Water_60","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",0.0536995088303609,0,0.0042580823726035
"65","ASV_113","Fluid_35",0.0268216361198033,NA,NA,35,NA,"Fluid_35","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",0.0254657179676377,0.0254657179676377,0.0042580823726035
"66","ASV_113","Posterior_35",0.0210260723296888,NA,NA,35,NA,"Posterior_35","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",0.0324262998702401,NA,0.0042580823726035
"67","ASV_113","Water_35",0.00803191346951889,NA,NA,35,NA,"Water_35","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",NA,0,0.0042580823726035
"68","ASV_113","Precipitates_60",0.00440948215041626,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",0.00524981028934861,0.0324262998702401,0.0042580823726035
"69","ASV_113","Precipitates_35",0.0042580823726035,NA,NA,35,NA,"Precipitates_35","Bacteria","Other","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Below Threshold",0.00483524877726031,0,0.0042580823726035
"70","ASV_115","Water_35",0.487269417150813,NA,NA,35,NA,"Water_35","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",NA,0,0
"71","ASV_115","Water_60",0.264738986382587,NA,NA,60,NA,"Water_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0.256183794223218,0,0
"72","ASV_115","Water_9",0.1731162415867,NA,NA,9,NA,"Water_9","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0.279558332589303,0,0
"73","ASV_115","Precipitates_60",0.000881896430083251,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0.000918236320996287,0,0
"74","ASV_116","Water_35",1.16462745308024,NA,NA,35,NA,"Water_35","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",NA,0.00769595133550554,0
"75","ASV_116","Water_60",0.198157923939062,NA,NA,60,NA,"Water_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0.0588323881020112,0,0
"76","ASV_116","Water_9",0.0119390511439103,NA,NA,9,NA,"Water_9","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0.0101789659745089,0,0
"77","ASV_116","Anterior_35",0.00421745181561301,NA,NA,35,NA,"Anterior_35","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0.00769595133550554,0,0
"78","ASV_116","Precipitates_60",0.000881896430083251,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0.00271502595433635,NA,0
"79","ASV_1170","Water_35",0.0133865224491981,NA,NA,35,NA,"Water_35","Bacteria","Other","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria_X","Below Threshold",NA,0,0
"80","ASV_1170","Water_60",0.0079263169575625,NA,NA,60,NA,"Water_60","Bacteria","Other","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria_X","Below Threshold",0.00711139636052006,0,0
"81","ASV_12","Water_60",10.5388310267751,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",2.95816828775266,0,0
"82","ASV_12","Water_9",2.68180936320086,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.546964113282132,0.072244037854802,0
"83","ASV_12","Precipitates_60",0.232820657541978,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0595235135829339,0,0
"84","ASV_12","Fluid_60",0.0886524822695035,NA,NA,60,NA,"Fluid_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",NA,0,0
"85","ASV_12","Anterior_60",0.0856979622928966,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.072244037854802,NA,0
"86","ASV_12","Water_35",0.00803191346951889,NA,NA,35,NA,"Water_35","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",NA,0.0050392796472866,0
"87","ASV_12","Fluid_9",0.002724610040188,NA,NA,9,NA,"Fluid_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0050392796472866,0,0
"88","ASV_120","Water_35",1.4457444245134,NA,NA,35,NA,"Water_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",NA,0.00470384772030003,0
"89","ASV_120","Water_9",0.399958213320996,NA,NA,9,NA,"Water_9","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.28130417465623,0,0
"90","ASV_120","Water_60",0.380463213963,NA,NA,60,NA,"Water_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.149500750714273,0,0
"91","ASV_120","Anterior_35",0.00421745181561301,NA,NA,35,NA,"Anterior_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00470384772030003,0,0
"92","ASV_120","Precipitates_60",0.00264568929024975,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00275470896298886,NA,0
"93","ASV_1219","Water_60",0.0253642142642,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Alphaproteobacteria_X","Alphaproteobacteria_XX","Below Threshold",0.00475656615613238,0,0
"94","ASV_1271","Water_35",0.0107092179593585,NA,NA,35,NA,"Water_35","Bacteria","Other","Kapabacteria","Kapabacteriales","Kapabacteriales_X","Below Threshold",NA,0,0
"95","ASV_1271","Water_60",0.00634105356605,NA,NA,60,NA,"Water_60","Bacteria","Other","Kapabacteria","Kapabacteriales","Kapabacteriales_X","Below Threshold",0.00707386382008992,0,0
"96","ASV_129","Water_35",4.323846751091,NA,NA,35,NA,"Water_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",NA,0.00769595133550554,0.00319356177945262
"97","ASV_129","Water_60",0.727635896704237,NA,NA,60,NA,"Water_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.0672956219967364,0.00401355765860011,0.00319356177945262
"98","ASV_129","Water_9",0.199979106660498,NA,NA,9,NA,"Water_9","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.0349794886962212,0,0.00319356177945262
"99","ASV_129","Fluid_60",0.0886524822695035,NA,NA,60,NA,"Fluid_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",NA,0.00242360116358671,0.00319356177945262
"100","ASV_129","Precipitates_60",0.00881896430083251,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00940546065630723,NA,0.00319356177945262
"101","ASV_129","Anterior_60",0.00476099790516092,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00401355765860011,0,0.00319356177945262
"102","ASV_129","Anterior_35",0.00421745181561301,NA,NA,35,NA,"Anterior_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00769595133550554,0,0.00319356177945262
"103","ASV_129","Precipitates_35",0.00319356177945262,NA,NA,35,NA,"Precipitates_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00598516023914353,0,0.00319356177945262
"104","ASV_129","Fluid_35",0.000894054537326777,NA,NA,35,NA,"Fluid_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00242360116358671,0,0.00319356177945262
"105","ASV_13","Water_9",8.78266449773904,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",9.27027770065732,0,0
"106","ASV_13","Water_60",5.09503654032117,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",5.78807602466414,0.00401355765860011,0
"107","ASV_13","Water_35",0.123156006532623,NA,NA,35,NA,"Water_35","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",NA,0,0
"108","ASV_13","Precipitates_60",0.0925991251587414,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.100796163440368,0,0
"109","ASV_13","Posterior_9",0.0129651238169325,NA,NA,9,NA,"Posterior_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0102449548129027,NA,0
"110","ASV_13","Anterior_60",0.00476099790516092,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.00401355765860011,0,0
"111","ASV_131","Water_9",0.376080111033176,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0.587876526793055,0,0
"112","ASV_131","Water_60",0.286932673863762,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0.473163091599658,0.0321084612688009,0
"113","ASV_131","Anterior_60",0.0380879832412874,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0.0321084612688009,0,0
"114","ASV_131","Precipitates_60",0.00617327501058276,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0.0158509974088952,0,0
"115","ASV_132","Water_9",0.598444938588506,NA,NA,9,NA,"Water_9","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0.424031099756611,0,0
"116","ASV_132","Water_60",0.50094323171795,NA,NA,60,NA,"Water_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0.472894419785419,0.0160542306344004,0
"117","ASV_132","Anterior_60",0.0190439916206437,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0.0160542306344004,0,0
"118","ASV_132","Water_35",0.00803191346951889,NA,NA,35,NA,"Water_35","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",NA,0,0
"119","ASV_132","Precipitates_60",0.003527585720333,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0.0108601038173454,NA,0
"120","ASV_133","Water_60",1.2428464989458,NA,NA,60,NA,"Water_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0.32604945074163,0,0
"121","ASV_133","Anterior_60",0.0714149685774138,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0.0495697723907453,0.0495697723907453,0
"122","ASV_133","Precipitates_60",0.021165514321998,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0.01533658443843,0,0
"123","ASV_133","Water_9",0.0104466697509215,NA,NA,9,NA,"Water_9","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0.004645223909985,0,0
"124","ASV_133","Water_35",0.00535460897967926,NA,NA,35,NA,"Water_35","Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",NA,NA,0
"125","ASV_134","Water_9",0.743205933708419,NA,NA,9,NA,"Water_9","Bacteria","Other","Bacteroidia","Cytophagales","Bernardetiaceae","Below Threshold",0.838544137274904,0,0
"126","ASV_134","Water_60",0.015852633915125,NA,NA,60,NA,"Water_60","Bacteria","Other","Bacteroidia","Cytophagales","Bernardetiaceae","Below Threshold",0.0174060662883583,0,0
"127","ASV_139","Water_60",0.69117483869945,NA,NA,60,NA,"Water_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.553529638969771,0,0
"128","ASV_139","Water_9",0.0104466697509215,NA,NA,9,NA,"Water_9","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.004645223909985,0,0
"129","ASV_139","Precipitates_60",0.00881896430083251,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00659992461077906,0,0
"130","ASV_139","Water_35",0.00267730448983963,NA,NA,35,NA,"Water_35","Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",NA,0,0
"131","ASV_14","Water_60",7.01637577083432,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",3.53424250124987,0,0.00106452059315087
"132","ASV_14","Water_9",4.20105362126345,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",1.24810039677177,0.0329408498308275,0.00106452059315087
"133","ASV_14","Water_35",0.902251613075955,NA,NA,35,NA,"Water_35","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",NA,0,0.00106452059315087
"134","ASV_14","Precipitates_60",0.263687032594892,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.112241106636351,0,0.00106452059315087
