"","OTU","Sample","Abundance","Tank","Location","Treatment","Source","Combined","Kingdom","Phylum","Class","Order","Family","Genus","sd","median"
"19","ASV_105","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0,0
"20","ASV_105","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0,0
"21","ASV_1068","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Below Threshold",0,0
"22","ASV_1068","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Below Threshold",0,0
"23","ASV_1068","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Below Threshold",0,0
"24","ASV_1068","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Below Threshold",0,0
"25","ASV_109","Precipitates",0.00144696162175459,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0.00222498929261981,0.000268264809558812
"26","ASV_109","Fluid",0.000536529619117623,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0.00188859477844015,0.000268264809558812
"27","ASV_109","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0,0.000268264809558812
"28","ASV_109","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0,0.000268264809558812
"29","ASV_11","Fluid",4.4328077131498,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",4.59043569258671,0.575168001978985
"30","ASV_11","Precipitates",0.749526120068875,NA,"Precipitates",50,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",1.16351351705866,0.575168001978985
"31","ASV_11","Posterior",0.400809883889095,NA,"Posterior",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.863721229948312,0.575168001978985
"32","ASV_11","Anterior",0.0065916319232734,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",0.0252282818592713,0.575168001978985
"33","ASV_1112","Precipitates",0.000964641081169724,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00142252559164056,0
"34","ASV_1112","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0
"35","ASV_1112","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0
"36","ASV_1112","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0
"37","ASV_1116","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_X","Below Threshold",0,0
"38","ASV_1116","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_X","Below Threshold",0,0
"39","ASV_1116","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_X","Below Threshold",0,0
"40","ASV_1116","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_X","Below Threshold",0,0
"41","ASV_1118","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",0,0
"42","ASV_1118","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",0,0
"43","ASV_1118","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",0,0
"44","ASV_1118","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Coxiellales","Coxiellaceae","Below Threshold",0,0
"45","ASV_112","Precipitates",0.150966329203062,NA,"Precipitates",50,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Enterovibrio",0.306490580578122,0.044291693945327
"46","ASV_112","Fluid",0.0761872059147025,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Enterovibrio",0.0764818638316918,0.044291693945327
"47","ASV_112","Posterior",0.0123961819759514,NA,"Posterior",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Enterovibrio",0.0205763950016491,0.044291693945327
"48","ASV_112","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Enterovibrio",0,0.044291693945327
"49","ASV_1128","Fluid",0.00268264809558812,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",0.167537443709764,0
"50","ASV_1128","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",0,0
"51","ASV_1128","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",0,0
"52","ASV_1128","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Below Threshold",0,0
"53","ASV_115","Precipitates",0.000482320540584862,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0.000711262795820278,0
"54","ASV_115","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"55","ASV_115","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"56","ASV_115","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"57","ASV_116","Anterior",0.00164790798081835,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0.00444325957522439,0.000241160270292431
"58","ASV_116","Precipitates",0.000482320540584862,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0.00210305006113312,0.000241160270292431
"59","ASV_116","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0,0.000241160270292431
"60","ASV_116","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Below Threshold",0,0.000241160270292431
"61","ASV_1170","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria_X","Below Threshold",0,0
"62","ASV_1170","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria_X","Below Threshold",0,0
"63","ASV_1170","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria_X","Below Threshold",0,0
"64","ASV_1170","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gracilibacteria","Candidatus Peregrinibacteria","Candidatus Peregrinibacteria_X","Below Threshold",0,0
"65","ASV_12","Precipitates",0.127332622714404,NA,"Precipitates",50,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nautella",0.126178996738008,0.0156359662560416
"66","ASV_12","Anterior",0.0296623436547303,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nautella",0.0417101147028154,0.0156359662560416
"67","ASV_12","Fluid",0.00160958885735287,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nautella",0.0331177929883621,0.0156359662560416
"68","ASV_12","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nautella",0,0.0156359662560416
"69","ASV_1219","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Alphaproteobacteria_X","Alphaproteobacteria_XX","Below Threshold",0,0
"70","ASV_1219","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Alphaproteobacteria_X","Alphaproteobacteria_XX","Below Threshold",0,0
"71","ASV_1219","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Alphaproteobacteria_X","Alphaproteobacteria_XX","Below Threshold",0,0
"72","ASV_1219","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Alphaproteobacteria_X","Alphaproteobacteria_XX","Below Threshold",0,0
"73","ASV_123","Anterior",0.0758037671176442,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Oceanospirillaceae","Below Threshold",0.149960397361814,0.000750585350143674
"74","ASV_123","Precipitates",0.000964641081169724,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Oceanospirillaceae","Below Threshold",0.00142252559164056,0.000750585350143674
"75","ASV_123","Fluid",0.000536529619117623,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Oceanospirillaceae","Below Threshold",0.00164949145941009,0.000750585350143674
"76","ASV_123","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Oceanospirillaceae","Below Threshold",0,0.000750585350143674
"77","ASV_1271","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Kapabacteria","Kapabacteriales","Kapabacteriales_X","Below Threshold",0,0
"78","ASV_1271","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Kapabacteria","Kapabacteriales","Kapabacteriales_X","Below Threshold",0,0
"79","ASV_1271","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Kapabacteria","Kapabacteriales","Kapabacteriales_X","Below Threshold",0,0
"80","ASV_1271","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Kapabacteria","Kapabacteriales","Kapabacteriales_X","Below Threshold",0,0
"81","ASV_129","Precipitates",0.0062701670276032,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.0078331120325613,0.00218443759993597
"82","ASV_129","Anterior",0.0032958159616367,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00474743003921311,0.00218443759993597
"83","ASV_129","Fluid",0.00107305923823525,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.0332798430339877,0.00218443759993597
"84","ASV_129","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0.00218443759993597
"85","ASV_13","Precipitates",0.0506436567614105,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0885548153376748,0.00288998431973441
"86","ASV_13","Posterior",0.00413206065865047,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.00482951801410219,0.00288998431973441
"87","ASV_13","Anterior",0.00164790798081835,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.00231722859460086,0.00288998431973441
"88","ASV_13","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0.00288998431973441
"89","ASV_131","Anterior",0.0131832638465468,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0.0185378287568069,0.00168812189204702
"90","ASV_131","Precipitates",0.00337624378409403,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0.0124595318978193,0.00168812189204702
"91","ASV_131","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0,0.00168812189204702
"92","ASV_131","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Below Threshold",0,0.00168812189204702
"93","ASV_132","Anterior",0.0065916319232734,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0.00926891437840343,0.000964641081169724
"94","ASV_132","Precipitates",0.00192928216233945,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0.00841220024453248,0.000964641081169724
"95","ASV_132","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0,0.000964641081169724
"96","ASV_132","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Below Threshold",0,0.000964641081169724
"97","ASV_133","Anterior",0.0247186197122753,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0.0366930758482606,0.00578784648701834
"98","ASV_133","Precipitates",0.0115756929740367,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0.0156475428592586,0.00578784648701834
"99","ASV_133","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0,0.00578784648701834
"100","ASV_133","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Below Threshold",0,0.00578784648701834
"101","ASV_134","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Bernardetiaceae","Below Threshold",0,0
"102","ASV_134","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Bernardetiaceae","Below Threshold",0,0
"103","ASV_134","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Bernardetiaceae","Below Threshold",0,0
"104","ASV_134","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Bernardetiaceae","Below Threshold",0,0
"105","ASV_139","Precipitates",0.00482320540584862,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0.00617267956811567,0
"106","ASV_139","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0
"107","ASV_139","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0
"108","ASV_139","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Below Threshold",0,0
"109","ASV_14","Precipitates",0.144696162175459,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.144109403377259,0.00657247236154066
"110","ASV_14","Anterior",0.0115353558657285,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0242424720227841,0.00657247236154066
"111","ASV_14","Fluid",0.00160958885735287,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0330714611078944,0.00657247236154066
"112","ASV_14","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0.00657247236154066
"113","ASV_141","Precipitates",0.00192928216233945,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Below Threshold",0.00284505118328111,0
"114","ASV_141","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Below Threshold",0,0
"115","ASV_141","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Below Threshold",0,0
"116","ASV_141","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Below Threshold",0,0
"117","ASV_142","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"118","ASV_142","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"119","ASV_142","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"120","ASV_142","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Below Threshold",0,0
"121","ASV_144","Anterior",0.00494372394245505,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","SAR86 clade","Below Threshold",0.00695168578380257,0.000268264809558812
"122","ASV_144","Fluid",0.000536529619117623,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","SAR86 clade","Below Threshold",0.00158661939807416,0.000268264809558812
"123","ASV_144","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","SAR86 clade","Below Threshold",0,0.000268264809558812
"124","ASV_144","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Pseudomonadales","SAR86 clade","Below Threshold",0,0.000268264809558812
"125","ASV_147","Precipitates",0.00144696162175459,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Below Threshold",0.00208971518195381,0
"126","ASV_147","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Below Threshold",0,0
"127","ASV_147","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Below Threshold",0,0
"128","ASV_147","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Below Threshold",0,0
"129","ASV_15","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacilli","Bacillales","Bacillaceae","Below Threshold",0,0
"130","ASV_15","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacilli","Bacillales","Bacillaceae","Below Threshold",0,0
"131","ASV_15","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacilli","Bacillales","Bacillaceae","Below Threshold",0,0
"132","ASV_15","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacilli","Bacillales","Bacillaceae","Below Threshold",0,0
"133","ASV_152","Precipitates",0.000482320540584862,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Cryomorphaceae","Below Threshold",0.000711262795820278,0
"134","ASV_152","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Cryomorphaceae","Below Threshold",0,0
"135","ASV_152","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Cryomorphaceae","Below Threshold",0,0
"136","ASV_152","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacteroidia","Flavobacteriales","Cryomorphaceae","Below Threshold",0,0
"137","ASV_157","Anterior",0.0032958159616367,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Cyclobacteriaceae","Below Threshold",0.00463445718920171,0.000482320540584862
"138","ASV_157","Precipitates",0.000964641081169724,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Cyclobacteriaceae","Below Threshold",0.00204470136969542,0.000482320540584862
"139","ASV_157","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Cyclobacteriaceae","Below Threshold",0,0.000482320540584862
"140","ASV_157","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacteroidia","Cytophagales","Cyclobacteriaceae","Below Threshold",0,0.000482320540584862
"141","ASV_159","Anterior",0.00494372394245505,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Below Threshold",0.00695168578380257,0
"142","ASV_159","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Below Threshold",0,0
"143","ASV_159","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Below Threshold",0,0
"144","ASV_159","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Below Threshold",0,0
